GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2015-11-06,4,21500078,1610612739,CLE,Cleveland,5-1,28,21,32,27,0,0,0,0,0,0,0,0,0,0,108,0.511,0.667,0.385,29,45,17,1610612739.0,1
2015-11-08,1,21500094,1610612739,CLE,Cleveland,6-1,24,23,27,27,0,0,0,0,0,0,0,0,0,0,101,0.45799999999999996,0.68,0.33299999999999996,25,48,10,1610612739.0,1
2015-11-10,1,21500106,1610612739,CLE,Cleveland,7-1,27,25,28,38,0,0,0,0,0,0,0,0,0,0,118,0.5,0.767,0.45799999999999996,24,35,16,1610612739.0,1
2015-11-13,4,21500130,1610612739,CLE,Cleveland,8-1,29,17,20,24,0,0,0,0,0,0,0,0,0,0,90,0.423,0.581,0.214,12,49,12,1610612739.0,1
2015-11-14,4,21500141,1610612739,CLE,Cleveland,8-2,23,21,17,27,8,9,0,0,0,0,0,0,0,0,105,0.40700000000000003,0.63,0.368,21,54,20,1610612739.0,1
2015-11-17,3,21500160,1610612739,CLE,Cleveland,8-3,27,29,25,18,0,0,0,0,0,0,0,0,0,0,99,0.475,0.6,0.33299999999999996,21,40,14,1610612739.0,1
2015-11-19,2,21500176,1610612739,CLE,Cleveland,9-3,28,35,23,29,0,0,0,0,0,0,0,0,0,0,115,0.563,0.8,0.45799999999999996,29,43,17,1610612739.0,1
2015-11-21,3,21500191,1610612739,CLE,Cleveland,10-3,27,30,20,32,0,0,0,0,0,0,0,0,0,0,109,0.48200000000000004,0.8420000000000001,0.379,27,51,14,1610612739.0,1
2015-11-23,2,21500203,1610612739,CLE,Cleveland,11-3,29,30,33,25,0,0,0,0,0,0,0,0,0,0,117,0.531,0.591,0.514,34,41,10,1610612739.0,1
2015-11-25,5,21500219,1610612739,CLE,Cleveland,11-4,25,24,31,19,0,0,0,0,0,0,0,0,0,0,99,0.439,0.813,0.483,22,42,10,1610612739.0,1
2015-11-27,1,21500227,1610612739,CLE,Cleveland,12-4,23,27,22,23,0,0,0,0,0,0,0,0,0,0,95,0.42,0.76,0.32,17,50,16,1610612739.0,1
2015-11-28,2,21500240,1610612739,CLE,Cleveland,13-4,17,27,25,21,0,0,0,0,0,0,0,0,0,0,90,0.402,0.647,0.33299999999999996,20,49,19,1610612739.0,1
