GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
4,21700850,1610612739,29,33,29,29,0,0,0,0,120,0.511,0.636,0.444,24,41,7,1
3,21700869,1610612739,31,23,25,24,0,0,0,0,103,0.5,0.579,0.22899999999999998,20,36,13,1
6,21700878,1610612739,20,34,31,27,0,0,0,0,112,0.46,0.955,0.379,26,46,18,1
3,21700894,1610612739,20,33,21,20,0,0,0,0,94,0.418,0.7140000000000001,0.235,18,47,15,1
2,21700908,1610612739,25,35,34,35,0,0,0,0,129,0.515,0.63,0.5,24,55,11,1
2,21700923,1610612739,29,27,15,26,0,0,0,0,97,0.414,0.696,0.281,23,45,9,1
2,21700937,1610612739,31,31,35,20,0,0,0,0,117,0.523,0.762,0.375,25,41,9,1
1,21700950,1610612739,26,28,36,22,0,0,0,0,112,0.489,0.8240000000000001,0.364,29,53,14,1
6,21700970,1610612739,38,32,19,24,0,0,0,0,113,0.506,0.667,0.44799999999999995,25,35,10,1
10,21700986,1610612739,17,30,30,25,0,0,0,0,102,0.44799999999999995,0.667,0.33299999999999996,22,40,12,1
9,21701000,1610612739,29,31,22,31,0,0,0,0,113,0.466,0.826,0.387,22,37,12,1
10,21701014,1610612739,38,30,34,27,0,0,0,0,129,0.494,0.867,0.486,25,44,19,1
9,21701028,1610612739,29,25,23,28,0,0,0,0,105,0.513,0.5710000000000001,0.33299999999999996,17,34,11,1
6,21701039,1610612739,32,37,16,29,0,0,0,0,114,0.506,0.65,0.35100000000000003,25,44,13,1
1,21701050,1610612739,26,38,29,31,0,0,0,0,124,0.494,0.852,0.395,24,42,13,1
1,21701065,1610612739,42,22,34,34,0,0,0,0,132,0.603,0.821,0.625,28,33,9,1
3,21701080,1610612739,23,39,31,27,0,0,0,0,120,0.495,0.75,0.276,23,54,14,1
1,21701094,1610612739,28,32,27,34,0,0,0,0,121,0.506,0.8079999999999999,0.429,25,49,11,1
3,21701110,1610612739,18,16,25,20,0,0,0,0,79,0.365,0.684,0.154,15,42,14,1
1,21701116,1610612739,22,42,31,23,0,0,0,0,118,0.484,0.85,0.39299999999999996,22,38,6,1
3,21701131,1610612739,29,18,33,27,0,0,0,0,107,0.478,0.733,0.41700000000000004,22,45,10,1
7,21701149,1610612739,18,30,25,25,0,0,0,0,98,0.41200000000000003,0.7390000000000001,0.423,21,50,11,1
1,21701156,1610612739,28,32,26,26,0,0,0,0,112,0.494,0.885,0.433,18,42,12,1
2,21701176,1610612739,39,20,23,37,0,0,0,0,119,0.545,0.7859999999999999,0.48100000000000004,26,35,16,1
3,21701183,1610612739,28,27,43,32,0,0,0,0,130,0.517,0.727,0.47100000000000003,24,41,15,1
4,21701207,1610612739,26,35,29,33,0,0,0,0,123,0.47100000000000003,0.857,0.42200000000000004,29,42,10,1
