GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2018-02-06,2,21700798,1610612738,BOS,Boston,39-16,18,19,23,31,0,0,0,0,0,0,0,0,0,0,91,0.39799999999999996,0.75,0.435,21,38,17,1610612738.0,1
2018-02-08,3,21700813,1610612738,BOS,Boston,40-16,26,23,26,23,12,0,0,0,0,0,0,0,0,0,110,0.46399999999999997,0.6759999999999999,0.34600000000000003,16,45,18,1610612738.0,1
2018-02-09,4,21700820,1610612738,BOS,Boston,40-17,16,22,34,19,0,0,0,0,0,0,0,0,0,0,91,0.382,0.8,0.259,16,38,10,1610612738.0,1
2018-02-11,3,21700835,1610612738,BOS,Boston,40-18,32,20,22,25,0,0,0,0,0,0,0,0,0,0,99,0.40399999999999997,0.773,0.263,22,43,14,1610612738.0,1
2018-02-14,6,21700858,1610612738,BOS,Boston,40-19,25,32,34,28,0,0,0,0,0,0,0,0,0,0,119,0.433,0.9520000000000001,0.484,24,46,8,1610612738.0,1
2018-02-23,1,21700873,1610612738,BOS,Boston,41-19,23,38,25,24,0,0,0,0,0,0,0,0,0,0,110,0.48200000000000004,0.611,0.436,30,42,11,1610612738.0,1
2018-02-24,3,21700886,1610612738,BOS,Boston,42-19,23,36,29,33,0,0,0,0,0,0,0,0,0,0,121,0.452,0.857,0.39399999999999996,21,45,11,1610612738.0,1
2018-02-26,2,21700898,1610612738,BOS,Boston,43-19,33,34,19,23,0,0,0,0,0,0,0,0,0,0,109,0.45299999999999996,0.7040000000000001,0.324,25,44,8,1610612738.0,1
2018-02-28,4,21700916,1610612738,BOS,Boston,44-19,37,30,36,31,0,0,0,0,0,0,0,0,0,0,134,0.621,0.9329999999999999,0.6,31,47,10,1610612738.0,1
2018-03-03,4,21700939,1610612738,BOS,Boston,44-20,32,32,25,31,0,0,0,0,0,0,0,0,0,0,120,0.484,0.905,0.542,22,38,13,1610612738.0,1
