Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2014-01-15,3,21300568,1610612748,MIA,Miami,27-11,18,30,29,20,0,0,0,0,0,0,0,0,0,0,97,0.44,0.941,0.28,22,35,12,1610612748.0,1
2014-01-17,3,21300583,1610612748,MIA,Miami,28-11,34,24,21,22,0,0,0,0,0,0,0,0,0,0,101,0.475,0.85,0.348,30,38,17,1610612748.0,1
2014-01-18,3,21300593,1610612748,MIA,Miami,29-11,27,26,22,15,14,0,0,0,0,0,0,0,0,0,104,0.494,0.655,0.33299999999999996,16,43,12,1610612748.0,1
2014-01-20,7,21300612,1610612748,MIA,Miami,29-12,31,39,22,22,0,0,0,0,0,0,0,0,0,0,114,0.48700000000000004,0.821,0.455,28,37,17,1610612748.0,1
2014-01-21,2,21300617,1610612748,MIA,Miami,30-12,29,22,20,22,0,0,0,0,0,0,0,0,0,0,93,0.514,0.75,0.25,22,33,14,1610612748.0,1
2014-01-23,1,21300631,1610612748,MIA,Miami,31-12,30,27,28,24,0,0,0,0,0,0,0,0,0,0,109,0.5770000000000001,0.478,0.4,25,48,18,1610612748.0,1
2014-01-26,1,21300654,1610612748,MIA,Miami,32-12,34,24,33,22,0,0,0,0,0,0,0,0,0,0,113,0.581,0.95,0.42100000000000004,28,37,14,1610612748.0,1
2014-01-29,1,21300675,1610612748,MIA,Miami,32-13,30,20,25,20,0,0,0,0,0,0,0,0,0,0,95,0.514,0.818,0.158,20,37,20,1610612748.0,1
2014-02-01,9,21300705,1610612748,MIA,Miami,33-13,29,24,24,29,0,0,0,0,0,0,0,0,0,0,106,0.539,0.667,0.348,18,34,13,1610612748.0,1
2014-02-03,4,21300713,1610612748,MIA,Miami,34-13,32,31,21,18,0,0,0,0,0,0,0,0,0,0,102,0.45899999999999996,0.81,0.35,24,44,20,1610612748.0,1
2014-02-05,12,21300736,1610612748,MIA,Miami,35-13,36,26,27,27,0,0,0,0,0,0,0,0,0,0,116,0.526,0.8079999999999999,0.419,33,31,15,1610612748.0,1
